Lexeme                         Line  Token name                     Value      Parent                         Leaf?    Non terminal symbol           
---                            -1    <otherStmts>                   0.00       <otherStmts>                   no       <otherStmts>                  
c4bbb                          12    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <assignmentStmt>               no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <assignmentStmt>               0.00       <stmt>                         no       <assignmentStmt>              
<---                           12    TK_ASSIGNOP                    0.00       <assignmentStmt>               yes      ---                           
(                              12    TK_OP                          0.00       <factor>                       yes      ---                           
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
(                              12    TK_OP                          0.00       <factor>                       yes      ---                           
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
d4cbcd5677                     12    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <factor>                       no       <arithmeticExpression>        
-                              12    TK_MINUS                       0.00       <lowPrecedenceOperators>       yes      ---                           
---                            -1    <lowPrecedenceOperators>       0.00       <expPrime>                     no       <lowPrecedenceOperators>      
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
2.350000                       12    TK_RNUM                        2.35       <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <expPrime>                     no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <expPrime>                     no       <expPrime>                    
)                              12    TK_CL                          0.00       <factor>                       yes      ---                           
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
*                              12    TK_MUL                         0.00       <highPrecedenceOperator>       yes      ---                           
---                            -1    <highPrecedenceOperator>       0.00       <termPrime>                    no       <highPrecedenceOperator>      
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
(                              12    TK_OP                          0.00       <factor>                       yes      ---                           
---                            -1    <factor>                       0.00       <termPrime>                    no       <factor>                      
2345                           12    TK_NUM                         2345.00    <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <factor>                       no       <arithmeticExpression>        
-                              12    TK_MINUS                       0.00       <lowPrecedenceOperators>       yes      ---                           
---                            -1    <lowPrecedenceOperators>       0.00       <expPrime>                     no       <lowPrecedenceOperators>      
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
234                            12    TK_NUM                         234.00     <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <expPrime>                     no       <term>                        
*                              12    TK_MUL                         0.00       <highPrecedenceOperator>       yes      ---                           
---                            -1    <highPrecedenceOperator>       0.00       <termPrime>                    no       <highPrecedenceOperator>      
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
8                              12    TK_NUM                         8.00       <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <termPrime>                    no       <factor>                      
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <termPrime>                    no       <termPrime>                   
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <expPrime>                     no       <expPrime>                    
)                              12    TK_CL                          0.00       <factor>                       yes      ---                           
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <termPrime>                    no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <factor>                       no       <arithmeticExpression>        
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
)                              12    TK_CL                          0.00       <factor>                       yes      ---                           
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <assignmentStmt>               no       <arithmeticExpression>        
+                              12    TK_PLUS                        0.00       <lowPrecedenceOperators>       yes      ---                           
---                            -1    <lowPrecedenceOperators>       0.00       <expPrime>                     no       <lowPrecedenceOperators>      
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
5                              12    TK_NUM                         5.00       <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <expPrime>                     no       <term>                        
*                              12    TK_MUL                         0.00       <highPrecedenceOperator>       yes      ---                           
---                            -1    <highPrecedenceOperator>       0.00       <termPrime>                    no       <highPrecedenceOperator>      
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
c3                             12    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <termPrime>                    no       <factor>                      
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <termPrime>                    no       <termPrime>                   
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <expPrime>                     no       <expPrime>                    
;                              12    TK_SEM                         0.00       <assignmentStmt>               yes      ---                           
---                            -1    <stmt>                         0.00       <otherStmts>                   no       <stmt>                        
---                            -1    <otherStmts>                   0.00       <otherStmts>                   no       <otherStmts>                  
if                             13    TK_IF                          0.00       <conditionalStmt>              yes      ---                           
---                            -1    <conditionalStmt>              0.00       <stmt>                         no       <conditionalStmt>             
(                              13    TK_OP                          0.00       <conditionalStmt>              yes      ---                           
(                              13    TK_OP                          0.00       <booleanExpression>            yes      ---                           
---                            -1    <booleanExpression>            0.00       <conditionalStmt>              no       <booleanExpression>           
~                              13    TK_NOT                         0.00       <booleanExpression>            yes      ---                           
---                            -1    <booleanExpression>            0.00       <booleanExpression>            no       <booleanExpression>           
(                              13    TK_OP                          0.00       <booleanExpression>            yes      ---                           
c4bbb                          13    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <booleanExpression>            no       <var>                         
---                            -1    <booleanExpression>            0.00       <booleanExpression>            no       <booleanExpression>           
==                             13    TK_EQ                          0.00       <relationalOp>                 yes      ---                           
---                            -1    <relationalOp>                 0.00       <booleanExpression>            no       <relationalOp>                
0                              13    TK_NUM                         0.00       <var>                          yes      ---                           
---                            -1    <var>                          0.00       <booleanExpression>            no       <var>                         
)                              13    TK_CL                          0.00       <booleanExpression>            yes      ---                           
)                              13    TK_CL                          0.00       <booleanExpression>            yes      ---                           
0                              0     TK_EPS                         0.00       <logicalOp>                    yes      ---                           
---                            -1    <logicalOp>                    0.00       <booleanExpression>            no       <logicalOp>                   
(                              13    TK_OP                          0.00       <booleanExpression>            yes      ---                           
